timeline_id,risk_entity_id,candidate_id,tenant_id,month,purchase_count,purchase_amount_display,purchase_quantity_display,last_purchase_date,days_since_last_purchase,risk_probability_display,palive_display,display_note
tl_9701EFF559DF4862AF18CF0DC1B6962D|YLNS00454172|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00454172|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00454172|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YLNS00456032|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00456032|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00456032|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL6810352|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6810352|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6810352|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704|H6,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704|H6,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00448038|ZA04CBH0205010303704|H6,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL515959|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL515959|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL515959|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00032146|ZA04CBH0205010303704|H6,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00032146|ZA04CBH0205010303704|H6,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00032146|ZA04CBH0205010303704|H6,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL6804946|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6804946|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6804946|XA12CBP084X001010403705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL6560971|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6560971|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6560971|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL374290|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL374290|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL374290|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YLNS00460228|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00460228|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YLNS00460228|XA12CBP084X001010403705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL6571185|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6571185|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6571185|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YL234599|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL234599|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL234599|ZA04CBH0205010303704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL6808379|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6808379|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6808379|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL6580357|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6580357|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6580357|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL5300387|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL5300387|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL5300387|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL531135|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL531135|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL531135|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL533121|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL533121|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL533121|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL6578985|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6578985|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6578985|XA12CBP084X001010403705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00455588|ZA12HAZ0399010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00455588|ZA12HAZ0399010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00455588|ZA12HAZ0399010303704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00455588|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00455588|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00455588|ZA04CBH0205010303704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YL6809759|ZA12HAZ0399010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL6809759|ZA12HAZ0399010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL6809759|ZA12HAZ0399010303704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_7de4fd63-eac3-4347-87c4-3bd90dbf08bd|YL6808309|XA11CCW047E002010501564|H3,7de4fd63-eac3-4347-87c4-3bd90dbf08bd|YL6808309|XA11CCW047E002010501564|H3,7de4fd63-eac3-4347-87c4-3bd90dbf08bd|YL6808309|XA11CCW047E002010501564|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YL214397|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL214397|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL214397|ZA04CBH0205010303704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
